"Story","Title","Result","Date","Stability","Duration (s)"
"Test login","Searching by keyword banana should display the corresponding article","FAILURE","2021-05-15T15:00:25.246854+03:00[Europe/Athens]","0.0","12.44"
"Test login","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-15T15:00:38.2742504+03:00[Europe/Athens]","0.0","0.31"
"Test login","Searching by keyword apple should display the corresponding article","ERROR","2021-05-15T15:00:38.7032505+03:00[Europe/Athens]","0.0","0.29"
"Search by keyword story","Searching by keyword banana should display the corresponding article","ERROR","2021-05-12T14:12:40.6112947+03:00[Europe/Athens]","0.0","1.12"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-12T14:12:42.245488+03:00[Europe/Athens]","0.0","0.2"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2021-05-12T14:12:42.576935+03:00[Europe/Athens]","0.0","0.47"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2021-05-15T15:00:40.9808978+03:00[Europe/Athens]","0.0","10.92"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-15T15:00:51.9754947+03:00[Europe/Athens]","0.0","0.29"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-05-15T15:00:52.3864964+03:00[Europe/Athens]","0.0","0.63"
